station_name,train_lines,income,long,lat,entry_dif,exit_dif
MONTROSE AVE,L,29922,-73.940005,40.707889,6151,2813
MORGAN AVE,L,57137,-73.93316,40.706148,6332,3014
MYRTLE AVE,JMZ,33348,-73.935692,40.697266,10351,3700
MYRTLE-WILLOUGH,G,56771,-73.949046,40.694568,10614,4046
NEPTUNE AVE,F,46114,-73.974531,40.580992,1233,445
NEW UTRECHT AVE,ND,77000,-73.996632,40.625419,8534,5334
NORTHERN BLVD,MR,27145,-73.905973,40.752898,11538,8140
NORWOOD AVE,JZ,57411,-73.880074,40.681598,2343,2083
NOSTRAND AVE,AC,44973,-73.950326,40.68041,30320,19282
PARK PLACE,S,74494,-73.957794,40.67491,1478,1287
PARKSIDE AVE,BQ,46810,-73.961227,40.655053,4640,1981
PARSONS BLVD,F,30625,-73.803326,40.707564,11552,10382
PATH WTC 2,1,108250,-74.010708,40.711638,2286,11877
PROSPECT AVE,R,15455,-73.992876999999993,40.665405,11334,8274
PROSPECT PARK,BQS,40339,-73.962193,40.661596,16914,10808
QUEENS PLAZA,EMR,0,-73.937194,40.748948,27646,20556
RALPH AVE,C,89318,-73.920801,40.678815,4523,1785
RIT-MANHATTAN,R,0,-73.964016,40.761268,2220,14
RIT-ROOSEVELT,R,100278,-73.954006,40.7574,2348,106
ROCKAWAY AVE,C,27925,-73.911939,40.67836,9126,4646
ROCKAWAY BLVD,A,23559,-73.843853,40.680429,11702,2916
SENECA AVE,M,101348,-73.907776,40.702798,2949,2305
SHEEPSHEAD BAY,BQ,57399,-73.954167,40.58681,23304,17576
SHEPHERD AVE,C,45673,-73.880761,40.674161,2466,977
SMITH-9 ST,FG,28364,-73.996139,40.673714,3819,4339
SPRING ST,CE,155341,-74.003627,40.726202,28040,5584
ST. GEORGE,1,77917,-74.073622,40.643738,24302,2
STEINWAY ST,MR,19850,-73.920736,40.756864,25054,18870
SUTPHIN BLVD,F,50353,-73.810562,40.705416,7438,4504
SUTTER AVE,L,10851,-73.902047,40.669376,2268,893
THIRTY THIRD ST,1,35369,-73.988113,40.748931,20021,14436
TOMPKINSVILLE,1,214732,-74.074824,40.636948,413,0
TREMONT AVE,BD,23191,-73.905244,40.850307,14582,6728
TWENTY THIRD ST,1,121183,-73.992909,40.742933,9731,12027
UNION ST,R,28364,-73.983135,40.677302,14636,10088
UTICA AVE,AC,50417,-73.930585,40.679279,25224,15600
VAN SICLEN AVE,C,36655,-73.890438,40.672786,-574650,-614166
VAN SICLEN AVE,JZ,31222,-73.891726,40.678018,1900,1716
W 4 ST-WASH SQ,ABCDEFM,41875,-74.000559,40.732251,58506,66446
W 8 ST-AQUARIUM,FQ,46114,-73.975925,40.576152,3918,2392
WALL ST,23,157992,-74.009056,40.706864,13016,14732
WALL ST,45,157992,-74.011867,40.707466,6924,13612
WILSON AVE,L,0,-73.903999,40.688676,3875,3065
WOODHAVEN BLVD,JZ,24447,-73.851568,40.693866,8120,4856
WOODHAVEN BLVD,MR,58026,-73.869259,40.73308,33526,18098
YORK ST,F,108250,-73.98689,40.699756,10895,4405
